label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.01,6.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.81,8.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,3.61,12.00,0.76,r,0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,4.81,16.00,0.82,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,6.61,16.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,8.41,16.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.61,16.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.81,16.00,1.06,[],0
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,12.61,16.00,0.76,r,0
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,13.81,16.00,0.76,r,1
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,15.31,16.00,0.76,r,0
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,16.81,16.00,1.02,r,0
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,18.31,16.00,1.06,[],0
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,19.81,16.00,0.76,r,1
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,21.61,16.00,0.76,b,1
orth_45,45.00,135.00,0.00,0.00,0.4000,0.40,22.81,16.00,0.76,b,0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,24.61,16.00,1.06,[],0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,25.81,16.00,1.06,[],0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,27.01,16.00,1.03,r,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,28.21,16.00,1.00,b,0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,30.01,16.00,1.06,[],0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,31.81,16.00,1.06,[],0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,33.31,16.00,0.76,b,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,34.81,16.00,0.76,b,1
